epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.009990133642141357,1.9603473657216781,30.722,1.590988787320944,42.66,"tensor([100.], device='cuda:0')"
1,0.009960573506572389,1.568051248941666,49.384,1.3325944237219982,53.42,"tensor([100.], device='cuda:0')"
2,0.009911436253643442,1.4067757982474107,58.75,1.1141070417868786,59.25,"tensor([100.], device='cuda:0')"
3,0.009842915805643154,1.328072716639592,63.338,0.967390489883912,66.52,"tensor([100.], device='cuda:0')"
4,0.009755282581475767,1.2838026062036172,66.888,0.8788146644066541,69.27,"tensor([100.], device='cuda:0')"
5,0.009648882429441256,1.2452708336023184,69.44,0.8624991912108201,71.13,"tensor([100.], device='cuda:0')"
6,0.009524135262330098,1.2189468718492067,71.162,0.9140183046842233,69.08,"tensor([100.], device='cuda:0')"
7,0.009381533400219317,1.2007298871492729,72.53,0.8717056696231549,71.49,"tensor([100.], device='cuda:0')"
8,0.009221639627510075,1.1885134635827481,73.374,0.8957648663184582,70.47,"tensor([100.], device='cuda:0')"
9,0.009045084971874737,1.170345173126612,74.316,0.7473726677588928,75.08,"tensor([100.], device='cuda:0')"
10,0.008852566213878947,1.1522935482171865,74.96,0.7718143268273427,74.8,"tensor([100.], device='cuda:0')"
11,0.008644843137107058,1.1248997827370961,76.112,0.7754731384607462,74.03,"tensor([100.], device='cuda:0')"
12,0.008422735529643444,1.1282248830183959,75.936,0.7261236684444623,75.81,"tensor([100.], device='cuda:0')"
13,0.00818711994874345,1.1129034074453208,76.582,0.7793676669781024,73.67,"tensor([100.], device='cuda:0')"
14,0.007938926261462368,1.0923220336437225,77.188,0.7278770735630622,75.75,"tensor([100.], device='cuda:0')"
15,0.007679133974894984,1.0874021065540802,77.494,0.7484733848235546,75.58,"tensor([100.], device='cuda:0')"
16,0.007408768370508577,1.0730540012701963,78.024,0.6531239407948959,77.83,"tensor([100.], device='cuda:0')"
17,0.0071288964578253644,1.0641797537987048,78.306,0.6665957589180042,77.78,"tensor([100.], device='cuda:0')"
18,0.0068406227634233915,1.0423272057985649,78.838,0.6694249243308337,77.57,"tensor([100.], device='cuda:0')"
19,0.006545084971874738,1.0240652217314794,79.406,0.7212528914977343,76.55,"tensor([100.], device='cuda:0')"
20,0.006243449435824274,1.024538515164302,79.148,0.6546959980176046,78.12,"tensor([100.], device='cuda:0')"
21,0.005936906572928625,0.985723247894874,80.512,0.5835994050288812,80.18,"tensor([100.], device='cuda:0')"
22,0.005626666167821524,0.9665948786796668,80.66,0.6112471597316937,79.75,"tensor([100.], device='cuda:0')"
23,0.005313952597646569,0.9570731919545393,81.122,0.612013808809794,79.03,"tensor([100.], device='cuda:0')"
24,0.005000000000000002,0.9280299292160914,82.004,0.5862534867647367,80.43,"tensor([100.], device='cuda:0')"
25,0.004686047402353435,0.9191806281224275,81.856,0.5722114413212507,81.19,"tensor([100.], device='cuda:0')"
26,0.004373333832178481,0.8933332755015446,82.74,0.5468634938200315,82.06,"tensor([100.], device='cuda:0')"
27,0.0040630934270713785,0.8678322469576811,83.212,0.5185588598251343,82.66,"tensor([100.], device='cuda:0')"
28,0.0037565505641757274,0.8449980099995931,84.148,0.5405041178067526,82.74,"tensor([100.], device='cuda:0')"
29,0.0034549150281252662,0.8175764666153834,84.758,0.5525280038515726,82.21,"tensor([100.], device='cuda:0')"
30,0.0031593772365766134,0.7959338678763463,84.966,0.5455741316844256,82.05,"tensor([100.], device='cuda:0')"
31,0.0028711035421746384,0.7740228125682244,85.716,0.5136690204724287,82.41,"tensor([100.], device='cuda:0')"
32,0.002591231629491424,0.7428917017502662,86.578,0.43580785107154113,85.14,"tensor([100.], device='cuda:0')"
33,0.0023208660251050166,0.7186492120608305,87.098,0.4349013536404341,85.91,"tensor([100.], device='cuda:0')"
34,0.0020610737385376356,0.6970166203303215,87.604,0.433238963668163,85.63,"tensor([100.], device='cuda:0')"
35,0.001812880051256552,0.6679488860643827,88.488,0.4616904679017189,85.14,"tensor([100.], device='cuda:0')"
36,0.001577264470356557,0.6460923123054015,89.05,0.4565310910917245,84.78,"tensor([100.], device='cuda:0')"
37,0.0013551568628929439,0.6231990805803201,89.7,0.39234808603158366,86.84,"tensor([100.], device='cuda:0')"
38,0.0011474337861210548,0.5952927894317187,90.424,0.3844644188498839,87.22,"tensor([100.], device='cuda:0')"
39,0.0009549150281252636,0.5713445396759571,91.052,0.3537646626623777,87.88,"tensor([100.], device='cuda:0')"
40,0.000778360372489926,0.5491075164232498,91.874,0.3585402362812788,88.17,"tensor([100.], device='cuda:0')"
41,0.0006184665997806823,0.5315596279425499,92.36,0.3420828449038359,88.69,"tensor([100.], device='cuda:0')"
42,0.0004758647376699034,0.5114548311019556,92.948,0.3491344265639782,88.67,"tensor([100.], device='cuda:0')"
43,0.0003511175705587434,0.49486797222724327,93.492,0.33178588738426185,88.99,"tensor([100.], device='cuda:0')"
44,0.00024471741852423245,0.47937534000629034,93.944,0.3339067693704214,88.99,"tensor([100.], device='cuda:0')"
45,0.00015708419435684522,0.46897805562386147,94.384,0.32652218830891144,89.2,"tensor([100.], device='cuda:0')"
46,8.856374635655642e-05,0.4593897969294817,94.6,0.32597867609598696,89.37,"tensor([100.], device='cuda:0')"
47,3.942649342761119e-05,0.45168509918909805,94.922,0.31854793075949717,89.42,"tensor([100.], device='cuda:0')"
48,9.866357858642208e-06,0.45003276169300077,94.918,0.31603022540609044,89.52,"tensor([100.], device='cuda:0')"
49,0.0,0.448358222307303,94.97,0.31603022540609044,89.52,"tensor([100.], device='cuda:0')"
