epoch,lr,train loss,train acc,test loss,test acc,decay
0,0.01,4.226533219141838,6.14,3.953505283746964,10.68,"tensor([1.0000e-04], device='cuda:0')"
1,0.01,3.755274040882404,13.394,3.5433625166232767,17.98,"tensor([1.0000e-04], device='cuda:0')"
2,0.01,3.3825587828954062,19.752,3.1751770820373144,24.4,"tensor([1.0000e-04], device='cuda:0')"
3,0.01,3.045417644427373,25.948,2.830549933971503,31.48,"tensor([1.0000e-04], device='cuda:0')"
4,0.01,2.8005826748334446,30.952,2.593178290587205,35.51,"tensor([1.0000e-04], device='cuda:0')"
5,0.01,2.5735909779866537,35.63,2.4410643180211387,39.1,"tensor([1.0000e-04], device='cuda:0')"
6,0.01,2.389528830234821,39.292,2.2995654405691686,42.24,"tensor([1.0000e-04], device='cuda:0')"
7,0.01,2.263150754647377,41.894,2.1950455888723717,44.69,"tensor([1.0000e-04], device='cuda:0')"
8,0.01,2.1446788298778046,44.482,2.1360450432850766,45.29,"tensor([1.0000e-04], device='cuda:0')"
9,0.01,2.0389405828255875,46.804,1.9818762372701595,48.79,"tensor([1.0000e-04], device='cuda:0')"
